# SYNTHETIC TEST DATA. NOT GeoNames, and not any real place.
#
# Committed so `pnpm geo:audit` runs on a fresh checkout with no download and no network.
# Two reasons it is invented rather than a real slice of cities15000:
#
#   1. Real rows are CC BY 4.0. Vendoring them would put an attribution obligation on a test
#      fixture, which is a silly place for one.
#   2. A fixture that looks like real data invites someone to read a finding off it. Every
#      place name here is invented and every country code is in the ISO user-assigned range
#      (XE, XS, XF, XN, XU, XO), so there is nothing to mistake for a fact about the world.
#
# Coordinates ARE inside real continental bounding boxes, because continent and grid
# assignment are what is under test. 66 scattered rows, 11 per landmass, PLUS a deliberate
# 16-row cluster inside ~200 km so the junction score has something to measure — the first
# --stage=audit run scored junction at zero for every candidate and that is why it is here.
#
# Columns are the published GeoNames geoname-table order; see read-geonames.ts.
900024	Rhuvik	Rhuvik		-26.95179	51.89177	P	PPLC	XF		01				978169		1917	Etc/UTC	2026-08-09
900025	Branmoor	Branmoor		-25.90902	-17.15135	P	PPLC	XF		01				203662		1749	Etc/UTC	2026-08-09
900026	Elyfell	Elyfell		22.85381	44.37361	P	PPLA2	XF		01				1523661		1063	Etc/UTC	2026-08-09
900027	Varfell	Varfell		-6.95146	0.65682	P	PPL	XF		01				2593294		723	Etc/UTC	2026-08-09
900028	Ilmholm	Ilmholm		10.61085	8.26809	P	PPL	XF		01				15771		490	Etc/UTC	2026-08-09
900029	Rhuholm	Rhuholm		25.95788	-1.40934	P	PPL	XF		01				458176		216	Etc/UTC	2026-08-09
900030	Elydale	Elydale		-17.00609	-2.20932	P	PPLA	XF		01				631838		1660	Etc/UTC	2026-08-09
900031	Selport	Selport		-12.26929	14.81342	P	PPLC	XF		01				1114313		339	Etc/UTC	2026-08-09
900032	Korford	Korford		-31.46359	-14.76944	P	PPL	XF		01				171812		1438	Etc/UTC	2026-08-09
900033	Tormoor	Tormoor		-8.88254	-9.33204	P	PPL	XF		01				244232		944	Etc/UTC	2026-08-09
900034	Ilmholm	Ilmholm		64.21616	-122.74814	P	PPL	XN		01				1385024		965	Etc/UTC	2026-08-09
900035	Rhuheim	Rhuheim		40.13141	-62.45209	P	PPL	XN		01				254007		291	Etc/UTC	2026-08-09
900036	Varheim	Varheim		56.78129	-92.35154	P	PPL	XN		01				3154163		2057	Etc/UTC	2026-08-09
900037	Nymmoor	Nymmoor		8.39497	-147.77355	P	PPLA	XN		01				1405395		755	Etc/UTC	2026-08-09
900038	Fenreach	Fenreach		23.02519	-136.01047	P	PPLC	XN		01				657221		705	Etc/UTC	2026-08-09
900039	Nymmoor	Nymmoor		33.34147	-132.99426	P	PPLA2	XN		01				1214723		341	Etc/UTC	2026-08-09
900040	Elyheim	Elyheim		21.84205	-129.62603	P	PPL	XN		01				1516313		1290	Etc/UTC	2026-08-09
900041	Korreach	Korreach		32.01841	-67.33681	P	PPLA2	XN		01				216665		51	Etc/UTC	2026-08-09
900042	Elyfell	Elyfell		33.13783	-76.19797	P	PPL	XN		01				75100		1187	Etc/UTC	2026-08-09
900043	Nymfell	Nymfell		12.83793	-142.93617	P	PPL	XN		01				239031		1485	Etc/UTC	2026-08-09
900044	Miragard	Miragard		26.83219	-112.9627	P	PPL	XN		01				1564859		1586	Etc/UTC	2026-08-09
900045	Ostheim	Ostheim		-6.00383	-46.03646	P	PPL	XU		01				2516320		372	Etc/UTC	2026-08-09
900046	Ilmreach	Ilmreach		-12.75136	-36.28322	P	PPL	XU		01				65088		901	Etc/UTC	2026-08-09
900047	Astdale	Astdale		-16.7085	-62.48955	P	PPL	XU		01				188302		1012	Etc/UTC	2026-08-09
900048	Casheim	Casheim		-21.07368	-61.96444	P	PPLA	XU		01				601890		137	Etc/UTC	2026-08-09
900049	Rhuvik	Rhuvik		-34.56975	-37.56473	P	PPLA	XU		01				1056252		529	Etc/UTC	2026-08-09
900050	Korwick	Korwick		-30.26288	-58.50857	P	PPLC	XU		01				2257107		200	Etc/UTC	2026-08-09
900051	Miraford	Miraford		-35.76331	-44.06192	P	PPL	XU		01				548267		122	Etc/UTC	2026-08-09
900052	Ostdale	Ostdale		-19.07908	-47.7072	P	PPL	XU		01				2165362		368	Etc/UTC	2026-08-09
900053	Ilmheim	Ilmheim		-12.84199	-65.7302	P	PPLA	XU		01				1597962		360	Etc/UTC	2026-08-09
900054	Dunfell	Dunfell		-19.71337	-34.81551	P	PPL	XU		01				766581		309	Etc/UTC	2026-08-09
900055	Ilmstad	Ilmstad		-0.36421	-79.36689	P	PPL	XU		01				779133		1555	Etc/UTC	2026-08-09
900056	Dunwick	Dunwick		-27.13469	134.27469	P	PPLA	XO		01				112969		334	Etc/UTC	2026-08-09
900057	Miraford	Miraford		-7.30721	174.29543	P	PPL	XO		01				897058		4	Etc/UTC	2026-08-09
900058	Nymmara	Nymmara		-17.19558	128.03186	P	PPLC	XO		01				1498382		529	Etc/UTC	2026-08-09
900059	Velfell	Velfell		-47.56364	124.38595	P	PPLA	XO		01				1819523		791	Etc/UTC	2026-08-09
900060	Selwick	Selwick		-41.46536	146.02765	P	PPL	XO		01				46802		297	Etc/UTC	2026-08-09
900061	Fenheim	Fenheim		-35.18485	120.36696	P	PPLC	XO		01				159981		163	Etc/UTC	2026-08-09
900062	Tormoor	Tormoor		-2.11276	116.46541	P	PPLA2	XO		01				886793		180	Etc/UTC	2026-08-09
900063	Nymheim	Nymheim		-26.34165	163.1461	P	PPL	XO		01				1026978		11	Etc/UTC	2026-08-09
900064	Casfell	Casfell		-34.80417	123.84477	P	PPLA	XO		01				979616		567	Etc/UTC	2026-08-09
900065	Varmara	Varmara		-5.49746	139.28954	P	PPL	XO		01				1409266		330	Etc/UTC	2026-08-09
900066	Casvik	Casvik		-4.31998	131.92988	P	PPL	XO		01				1260463		17	Etc/UTC	2026-08-09
900067	Astvik	Astvik		47.63796	9.79224	P	PPL	XE		01				1835926		1352	Etc/UTC	2026-08-09
900068	Kordale	Kordale		47.40774	9.72371	P	PPLA	XE		01				434887		595	Etc/UTC	2026-08-09
900069	Ilmgard	Ilmgard		48.05642	8.53686	P	PPL	XE		01				2416983		1628	Etc/UTC	2026-08-09
900070	Ostgard	Ostgard		48.44677	10.09581	P	PPLA	XE		01				119916		158	Etc/UTC	2026-08-09
900071	Astgard	Astgard		47.69583	9.51647	P	PPLA2	XE		01				1515096		457	Etc/UTC	2026-08-09
900072	Varmoor	Varmoor		47.57997	8.61425	P	PPLA2	XE		01				170730		1436	Etc/UTC	2026-08-09
900073	Dunburg	Dunburg		48.20022	8.11888	P	PPLC	XE		01				3562900		347	Etc/UTC	2026-08-09
900074	Nymmarsh	Nymmarsh		47.85389	9.06206	P	PPLC	XE		01				59384		288	Etc/UTC	2026-08-09
900075	Fenstad	Fenstad		48.29884	9.86667	P	PPLC	XE		01				1138615		1147	Etc/UTC	2026-08-09
900076	Rhumarsh	Rhumarsh		47.48562	8.79014	P	PPLA	XE		01				1000149		975	Etc/UTC	2026-08-09
900077	Miramarsh	Miramarsh		48.2285	9.14238	P	PPLC	XE		01				1194142		155	Etc/UTC	2026-08-09
900078	Duncove	Duncove		48.47496	9.93325	P	PPLA	XE		01				205645		391	Etc/UTC	2026-08-09
900079	Elyburg	Elyburg		47.79042	8.27736	P	PPL	XE		01				320875		1254	Etc/UTC	2026-08-09
900080	Kordale	Kordale		48.16982	9.79695	P	PPL	XE		01				2884374		631	Etc/UTC	2026-08-09
900081	Branreach	Branreach		47.74341	8.81619	P	PPLC	XE		01				439266		521	Etc/UTC	2026-08-09
900082	Elymarsh	Elymarsh		47.96292	9.64422	P	PPL	XE		01				1329765		32	Etc/UTC	2026-08-09
